sn,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23
579,3,1,2,3,2,1,2,2,4,2,2,3,3,2,2,3,2,3,3,4,2,2,4
580,3,3,4,3,2,1,3,2,4,1,1,2,2,2,2,3,1,2,4,2,4,5,5
581,2,1,1,3,3,3,4,2,1,2,3,5,2,3,2,2,2,3,2,5,4,2,5
582,3,2,1,4,3,2,3,3,2,3,2,4,3,3,4,3,3,3,2,3,3,3,3
583,3,2,3,3,2,2,3,3,4,3,2,3,2,2,2,3,2,2,3,2,3,3,2
584,3,1,4,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,1,3,3,4,4
585,3,2,3,2,4,2,4,2,4,3,2,3,3,3,2,2,3,3,3,4,2,2,4
586,4,2,3,2,3,1,2,2,2,1,1,2,2,2,2,3,2,2,1,3,3,3,3
587,3,1,1,3,5,2,3,3,1,3,3,3,3,4,2,3,3,3,2,3,3,2,4
588,2,2,2,4,2,2,4,2,4,2,1,4,4,4,3,3,2,2,2,4,4,3,4
589,2,1,1,2,2,3,4,2,2,2,2,4,3,3,1,3,2,3,1,3,4,1,5
590,2,2,3,2,2,1,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,4,4
591,2,1,3,2,2,1,2,1,5,1,1,4,1,2,3,3,2,1,4,4,5,4,3
592,2,1,1,3,3,4,4,2,1,2,2,4,2,4,5,3,2,4,1,5,5,1,3
593,3,1,1,5,3,2,2,2,1,3,2,4,4,3,2,4,2,2,2,5,3,1,3
594,3,2,3,3,3,3,4,2,4,2,2,2,2,3,2,3,2,2,4,3,2,2,4
595,1,2,4,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,3,3,3,3
596,1,1,5,2,2,1,2,1,5,2,2,2,1,1,1,2,2,1,2,2,2,4,4
597,2,3,4,2,3,2,2,2,5,2,1,1,1,2,2,2,2,1,4,3,3,3,3
598,3,2,3,2,3,4,4,1,2,2,2,3,2,4,3,3,2,2,3,4,3,4,4
599,2,1,3,3,3,2,2,3,3,4,3,5,4,4,3,3,3,3,1,4,4,2,2
600,2,3,4,3,2,2,2,2,5,3,2,2,2,3,4,3,3,4,4,3,2,3,3
601,2,1,2,3,3,3,3,2,1,4,3,3,3,3,4,3,3,3,2,5,4,2,3
602,3,2,2,4,4,2,3,3,4,3,2,4,3,3,4,4,3,3,3,3,3,3,4
603,2,1,2,2,3,2,2,2,2,2,2,3,2,3,4,2,3,2,2,4,2,2,2
604,3,2,4,3,2,1,4,3,4,3,2,2,1,3,2,4,3,4,2,3,4,2,4
605,3,4,3,3,3,4,4,4,5,2,3,3,3,4,2,3,4,5,2,5,4,3,4
606,3,1,1,4,3,3,4,3,1,2,3,4,3,3,2,4,4,3,2,5,5,2,5
607,3,1,1,2,1,1,3,3,1,1,4,3,3,2,5,3,3,2,2,5,3,1,5
608,2,1,2,2,4,1,2,2,1,2,2,3,2,2,2,3,2,2,1,2,3,2,4
609,2,1,4,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,4,3,1,3
610,3,2,2,2,3,4,4,3,2,3,3,3,4,4,2,4,2,3,1,4,4,2,4
611,3,1,2,4,3,3,4,5,4,2,5,4,4,3,3,4,5,5,1,4,4,4,5
612,4,1,1,4,4,5,5,1,1,5,3,4,3,2,5,4,1,3,1,5,5,5,4
613,2,1,3,3,3,2,2,2,2,2,2,4,3,3,4,3,2,3,2,4,2,2,4
614,2,2,3,4,4,2,4,2,4,2,2,4,4,2,4,2,3,2,2,4,4,2,4
615,3,1,3,3,3,2,3,2,3,2,2,3,3,2,3,2,3,1,3,3,3,3,4
616,3,1,2,4,3,2,4,2,1,3,2,5,2,5,2,3,2,2,1,5,4,1,4
617,2,1,2,2,3,2,3,2,2,2,2,3,3,3,4,3,3,3,2,5,4,2,2
618,2,2,4,2,1,1,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,4,4
619,2,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,2
620,2,1,2,3,3,1,3,2,1,2,3,3,2,3,3,3,4,3,2,4,4,3,2
621,1,1,3,2,1,3,3,1,5,1,2,3,2,2,3,3,1,1,2,1,2,3,5
622,1,2,3,3,2,1,3,2,5,1,1,3,1,2,2,3,2,1,4,5,3,4,4
623,3,1,2,5,3,1,3,5,1,3,2,3,2,3,4,3,5,2,4,3,3,4,5
624,2,3,5,2,2,1,2,2,4,3,1,3,2,2,2,2,2,2,4,3,3,4,4
625,3,1,2,4,4,2,4,2,2,2,2,4,3,4,2,4,2,3,4,4,4,3,4
626,1,2,3,4,2,2,4,3,4,2,4,5,4,2,2,3,4,5,4,2,5,2,2
627,4,1,2,5,4,3,4,2,1,4,2,4,3,5,5,5,4,3,1,4,5,2,4
628,2,2,3,3,2,2,3,2,5,2,2,3,3,3,2,2,2,2,1,3,3,4,5
629,1,1,1,2,2,5,3,2,1,3,3,3,4,5,4,2,3,4,2,4,3,3,3
630,2,1,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,2,3,4,3,3,3
631,2,1,5,2,2,2,3,2,4,2,2,2,2,3,2,2,2,3,4,5,2,4,5
632,2,1,2,3,3,3,4,1,2,3,2,3,3,3,3,2,2,2,2,5,3,2,4
633,1,3,3,2,1,1,2,2,5,2,1,2,1,2,3,2,2,2,5,3,2,4,5
634,2,1,3,3,3,2,2,3,4,2,2,3,2,2,3,2,3,2,3,5,3,4,4
635,2,3,4,2,4,1,1,1,4,2,2,3,3,2,2,3,2,2,4,2,2,5,5
636,2,1,2,3,3,2,2,2,1,4,2,3,3,2,4,4,2,3,1,4,2,1,2
637,3,2,2,2,3,1,3,2,3,2,2,4,3,2,2,2,2,3,1,2,2,3,4
638,3,1,1,3,3,4,4,2,2,2,3,5,4,4,3,3,3,5,4,4,4,2,4
639,2,2,2,3,3,2,3,2,4,2,2,3,2,2,2,2,2,2,2,3,3,3,4
640,2,1,3,3,2,1,2,2,3,2,2,2,2,3,2,3,2,3,2,3,3,3,3
641,3,2,2,3,3,2,3,2,2,4,2,4,2,3,2,4,2,3,3,4,4,3,2
642,3,2,3,3,3,2,4,3,4,2,3,4,2,4,2,3,3,3,3,3,4,3,4
643,4,1,1,3,3,4,5,2,2,4,2,3,4,5,4,5,2,3,3,3,4,3,4
644,4,1,1,2,4,2,2,1,1,2,2,4,2,4,4,2,2,1,4,4,2,1,2
645,2,4,3,3,2,2,2,1,3,2,1,3,1,2,2,4,1,1,1,3,3,4,3
646,2,3,4,3,3,3,3,3,3,2,2,4,3,3,3,3,3,4,3,3,3,3,3
647,2,2,4,2,3,2,3,2,2,2,2,2,1,2,4,2,2,1,4,4,3,4,4
648,4,2,2,5,3,2,4,4,4,4,4,4,4,5,4,4,4,5,2,4,4,3,4
649,2,1,2,3,4,2,4,2,3,2,2,4,2,2,1,2,1,3,1,5,5,1,4
650,1,3,4,1,2,2,3,1,3,2,1,3,3,1,3,2,1,2,2,3,2,3,5
651,2,3,3,2,2,1,1,1,4,2,2,3,2,3,2,3,2,1,3,3,3,3,3
652,2,1,2,4,2,2,2,2,1,3,2,3,4,4,3,4,3,3,1,5,5,1,1
653,2,1,3,3,2,2,4,3,1,3,2,4,3,2,3,2,2,2,1,3,4,4,2
654,3,2,1,2,5,1,4,2,5,3,1,3,2,3,3,3,1,2,4,1,4,5,5
655,2,1,3,3,3,2,3,2,4,2,2,3,2,2,2,2,2,2,3,2,2,3,4
656,2,1,2,3,2,2,4,2,2,2,1,3,2,2,4,4,2,2,2,4,4,3,4
657,2,1,3,3,3,2,3,2,3,4,2,3,3,3,3,2,3,3,4,2,2,2,4
658,2,1,3,2,3,1,1,2,4,1,1,1,1,2,4,3,2,1,3,3,1,3,4
659,2,1,4,3,2,2,3,2,4,2,2,3,2,3,2,2,2,2,4,3,3,4,4
660,2,1,2,4,2,2,4,1,5,2,2,3,2,3,2,3,2,3,2,5,4,2,5
661,2,1,3,1,2,4,2,2,4,3,2,2,1,4,2,3,2,1,3,1,2,3,1
662,3,1,2,3,3,3,3,3,4,2,3,3,4,3,3,3,4,3,4,3,4,4,4
663,2,1,3,2,2,1,1,1,3,2,2,2,1,1,1,2,1,2,3,3,2,2,2
664,2,3,3,1,2,1,3,2,4,2,2,3,2,2,2,3,2,3,1,4,4,3,4
665,2,1,1,4,3,1,1,1,1,3,2,4,2,3,5,3,3,2,2,4,3,3,2
666,2,2,4,4,3,2,2,2,4,2,2,4,2,2,2,2,2,2,2,4,2,4,4
667,1,1,2,2,1,1,3,3,4,2,1,4,3,2,3,3,3,3,4,5,3,2,3
668,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,4,4
669,2,1,2,3,4,1,2,2,2,2,2,3,2,3,2,3,2,3,2,4,3,3,3
670,2,2,4,2,2,2,2,2,4,2,3,2,2,3,2,2,3,3,3,4,4,3,3
671,2,2,3,3,2,2,3,2,3,3,3,3,2,4,3,3,3,3,2,4,4,3,3
672,3,1,1,4,3,2,3,2,1,1,3,3,3,3,2,3,3,3,4,3,4,1,1
673,2,1,2,2,3,1,2,2,2,1,2,4,4,4,2,2,2,3,1,4,4,3,4
674,2,1,3,2,2,2,3,2,5,2,3,2,2,2,2,3,2,1,3,2,2,2,4
675,3,1,2,3,2,1,1,1,3,2,2,3,3,2,1,3,2,3,1,3,2,4,3
676,3,1,2,1,1,2,3,2,2,2,3,3,3,3,2,2,2,3,1,4,4,2,4
677,4,2,1,4,3,1,5,4,4,3,5,5,5,5,3,5,5,4,1,5,4,4,3
678,1,1,5,2,1,1,3,4,4,1,1,4,1,3,1,3,1,5,5,4,5,5,1
679,3,1,2,3,3,2,2,2,1,3,3,3,2,3,4,4,2,2,3,4,4,2,3
680,1,2,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,5,5,1
681,3,1,4,3,2,1,4,1,1,2,1,3,4,2,3,3,2,4,1,2,3,4,4
682,3,1,2,3,4,2,3,4,3,3,3,4,3,4,2,4,4,2,2,3,4,3,2
683,2,1,1,1,1,2,3,1,1,2,2,3,2,3,2,3,3,3,4,1,3,1,3
684,3,4,4,2,2,1,2,2,4,2,2,3,2,3,2,2,1,2,4,2,2,4,4
685,2,4,4,2,2,2,2,2,4,2,2,3,2,2,2,2,2,1,2,4,2,4,2
686,2,1,2,3,2,1,2,2,1,1,2,3,2,2,3,2,2,3,1,4,2,2,4
687,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,3,4,4,4
688,2,1,2,3,3,2,2,2,4,2,2,3,2,3,3,3,2,3,4,4,4,1,3
689,2,1,3,2,2,1,1,1,4,2,2,2,2,2,3,3,3,2,3,2,2,3,5
690,2,2,4,1,1,1,2,1,3,2,1,3,1,3,2,2,2,1,1,3,3,4,4
691,2,1,1,3,2,3,5,2,3,2,2,3,3,4,3,3,3,4,3,3,4,4,3
692,2,1,4,3,2,1,3,2,5,1,2,3,2,4,3,2,2,2,2,3,1,3,4
693,3,1,1,4,4,4,3,5,2,2,5,4,4,4,4,4,3,2,2,4,3,3,3
694,3,1,2,3,3,1,4,2,4,2,2,3,3,3,2,3,2,3,1,4,4,2,5
695,4,2,3,3,4,1,5,2,1,2,2,4,2,2,2,4,4,4,3,5,5,1,4
696,3,2,1,3,2,3,3,2,4,2,2,3,3,2,3,3,3,3,2,4,4,4,4
697,2,2,3,2,2,1,1,1,4,1,2,3,2,2,1,1,1,1,2,5,2,4,4
698,2,1,2,4,3,1,2,2,2,2,1,5,1,2,3,3,2,1,3,2,2,3,2
699,2,1,3,3,2,1,3,1,5,2,1,2,2,1,1,1,1,2,4,4,3,5,5
700,2,1,4,2,2,2,3,2,4,2,2,2,3,2,3,2,3,2,4,2,3,3,4
701,4,1,2,5,5,2,5,3,3,4,4,5,4,2,3,4,4,3,5,1,5,5,3
702,2,3,3,5,2,2,4,2,4,2,2,3,1,4,2,2,3,4,2,3,4,4,2
703,3,1,2,2,3,2,3,2,1,1,2,3,2,3,2,3,2,2,3,4,3,3,5
704,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,4,2
705,3,1,3,2,3,2,2,2,3,2,3,4,3,3,3,4,3,2,2,3,3,2,3
706,2,2,3,2,2,2,2,2,4,4,2,2,2,2,2,3,2,2,2,4,3,4,4
707,2,2,3,3,3,2,4,2,5,2,2,2,2,1,2,1,2,1,3,3,3,3,3
708,2,1,1,4,5,4,3,2,1,4,3,5,3,3,5,4,3,3,1,5,4,1,3
709,2,4,5,3,1,2,1,1,5,1,1,2,2,1,1,1,1,3,4,4,2,4,4
710,2,5,3,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1,2,1,1,4,4
711,2,2,5,2,3,1,2,2,4,2,1,3,1,2,3,2,2,1,3,3,3,4,5
712,2,2,4,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,4,4,2,4,5
713,2,1,4,3,2,1,2,2,5,2,2,3,1,3,3,3,2,3,4,4,2,4,4
714,1,2,4,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,4
715,2,3,5,3,3,1,2,2,4,2,2,2,2,2,3,3,2,1,3,3,2,4,4
716,2,2,4,2,2,2,3,2,3,2,1,2,1,2,2,2,2,1,4,3,2,3,2
717,2,2,4,3,2,4,2,2,2,2,3,3,1,4,4,4,4,1,4,4,2,4,5
718,1,1,3,2,2,4,4,1,2,4,1,3,3,5,2,3,2,4,2,4,4,2,3
719,2,2,3,3,2,2,3,2,3,2,2,3,2,3,3,2,2,3,2,3,3,2,2
720,3,2,1,4,2,3,5,3,3,3,2,4,3,5,3,3,3,3,2,2,4,5,2
721,3,1,1,3,2,2,4,2,3,2,2,3,2,3,2,3,3,2,2,4,4,3,3
722,2,1,3,3,2,1,1,1,4,1,1,3,1,1,2,3,1,1,1,1,1,3,2
723,3,1,2,4,4,4,4,2,2,2,4,4,4,2,5,4,3,3,3,4,4,4,5
724,3,1,1,4,4,1,2,2,1,1,2,3,2,2,2,1,2,2,3,5,1,3,3
725,4,1,1,4,3,3,5,5,3,3,5,2,2,3,3,4,5,2,2,5,5,3,3
726,2,2,4,1,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,4,3,3,3
727,2,3,3,2,2,2,2,3,2,2,3,3,2,2,2,3,4,2,3,4,3,4,4
728,3,1,1,4,4,4,5,3,2,4,4,4,4,4,5,4,4,5,3,2,3,2,2
729,3,2,2,3,3,2,3,3,4,2,2,4,3,4,3,2,2,3,1,5,4,3,3
730,5,1,1,4,5,2,4,3,3,4,3,4,3,2,4,4,3,3,1,5,4,2,2
731,3,1,3,3,4,2,3,2,3,2,3,2,3,1,2,3,2,2,2,4,3,4,4
732,2,1,3,2,2,2,3,3,4,2,2,3,2,3,3,2,3,3,1,3,3,3,4
733,2,3,3,3,2,3,3,2,1,2,2,3,1,3,3,2,3,2,3,2,2,4,3
734,3,1,2,3,3,3,4,4,4,3,4,3,3,3,3,4,4,3,2,4,3,3,3
735,2,1,3,2,3,4,3,2,2,3,2,2,2,3,4,3,2,3,1,4,3,3,3
736,1,4,3,2,4,3,4,3,4,2,2,2,2,3,4,2,4,3,1,5,2,2,5
737,2,4,5,2,2,2,4,2,4,5,2,2,2,3,3,2,2,2,3,3,4,4,3
738,2,3,4,2,4,2,3,1,3,3,2,3,2,2,1,3,2,2,3,3,2,2,5
739,2,1,1,2,2,3,2,2,5,2,1,3,2,4,2,3,2,1,4,5,4,5,5
740,3,1,1,3,4,2,3,2,1,4,3,4,3,3,4,4,3,4,1,4,4,3,4
741,2,1,3,2,4,2,4,1,1,2,1,3,2,2,4,4,2,3,1,5,2,2,4
742,3,2,3,3,4,1,2,3,5,2,3,2,2,3,3,3,3,2,4,3,3,5,4
743,3,2,4,3,3,2,3,2,3,3,1,3,2,2,3,3,2,2,2,3,2,5,4
744,3,1,3,2,1,1,3,2,1,2,2,3,2,3,3,3,3,1,2,4,2,1,3
745,2,2,2,3,2,2,2,2,1,2,3,3,1,3,2,3,3,2,2,3,2,3,2
746,2,2,2,2,2,3,3,2,4,2,2,5,3,4,2,3,2,4,1,4,4,3,3
747,2,1,3,2,2,1,2,2,3,2,2,3,2,2,3,3,2,2,3,4,3,3,3
748,3,4,4,2,1,1,2,2,5,2,2,2,2,3,3,2,3,1,2,2,1,3,3
749,3,1,1,3,4,3,3,3,1,3,3,4,3,3,3,3,2,3,1,4,3,2,4
750,3,2,2,3,2,2,4,3,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4
751,2,1,2,3,3,4,4,2,2,3,2,3,3,4,4,3,2,3,1,4,3,2,1
752,3,1,3,4,5,2,4,3,4,3,3,3,2,3,4,4,4,4,2,4,4,2,3
753,2,1,3,2,2,1,2,2,2,2,2,3,2,2,3,3,2,2,4,3,2,4,3
754,2,3,3,2,2,1,2,2,5,2,2,3,2,2,2,2,2,2,5,3,2,4,4
755,2,2,3,2,2,2,2,2,3,2,1,3,2,3,2,3,2,3,2,3,3,4,4
756,3,1,4,4,2,5,5,2,1,3,2,4,3,2,1,4,2,5,2,5,2,4,4
757,2,2,3,2,3,1,2,1,4,2,1,1,1,2,2,2,3,2,2,1,3,3,3
758,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,3,3,2,3,3
759,3,2,2,3,3,2,3,3,4,2,2,3,2,2,3,3,2,2,4,4,3,3,4
760,2,3,3,2,2,1,1,2,3,2,2,1,3,4,2,2,2,1,3,3,2,4,4
761,2,2,3,2,2,1,2,2,4,2,2,3,2,2,2,2,3,2,3,3,3,3,2
762,2,3,4,2,2,1,2,2,4,2,2,3,2,2,2,2,3,3,4,2,2,3,4
763,1,1,1,2,2,2,2,1,3,2,1,3,2,2,2,2,2,3,2,3,3,2,3
764,5,1,2,4,5,2,3,4,4,1,4,4,3,4,2,4,3,5,2,5,4,2,5
765,3,2,3,3,2,3,3,3,4,2,2,3,2,3,3,3,4,3,3,4,3,4,5
766,3,1,2,3,3,1,2,2,1,2,3,3,3,1,3,3,4,2,2,3,4,2,3
767,1,2,4,2,2,1,3,2,4,2,2,4,2,1,2,2,2,2,2,2,1,4,4
768,4,1,4,2,2,1,2,2,1,4,2,2,3,2,2,2,2,2,4,4,2,2,4
769,2,1,3,2,2,3,3,2,4,2,2,4,4,4,3,3,5,3,2,2,3,2,4
770,2,2,2,3,4,3,3,2,2,4,2,4,4,2,2,4,2,4,2,4,4,3,3
771,2,1,4,3,2,1,2,1,2,3,2,3,2,2,2,3,2,2,2,4,3,3,3
772,3,2,2,2,4,4,1,1,2,1,3,1,1,3,1,2,2,1,5,4,1,4,3
773,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4
774,2,2,5,2,4,2,2,2,3,2,2,3,1,2,2,2,2,2,3,2,2,2,4
775,3,2,2,3,4,3,4,2,4,3,2,3,4,3,2,3,2,3,1,4,4,2,4
776,2,1,3,4,2,4,3,2,5,1,1,3,3,3,2,3,2,3,1,4,3,5,1
777,3,1,2,3,4,2,4,4,4,3,4,3,3,2,3,3,4,2,2,4,4,3,4
778,1,2,3,4,2,2,3,2,3,2,2,2,1,2,2,2,2,2,3,3,2,4,4
779,1,1,3,3,2,3,4,2,5,2,3,2,3,3,3,2,3,2,1,4,4,2,4
780,3,1,2,3,3,2,2,1,1,2,2,4,2,2,5,4,1,1,3,5,2,5,5
781,2,1,1,3,2,2,3,2,2,2,1,4,4,3,4,2,2,4,1,2,2,4,5
782,2,4,4,2,2,2,3,2,4,2,1,3,3,3,2,3,3,3,4,4,2,4,4
783,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3
784,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,3,4,4
785,2,2,4,4,2,2,2,2,2,4,2,2,2,2,2,3,2,2,4,4,2,4,4
786,2,1,3,2,2,1,1,1,1,1,1,2,1,3,3,2,2,3,1,5,2,4,4
787,2,3,4,2,3,3,2,2,2,3,3,3,2,2,3,2,3,2,4,3,2,3,3
788,5,1,1,4,5,4,5,4,1,4,5,4,4,5,5,5,4,5,1,5,4,2,2
789,3,1,2,2,3,3,4,2,4,2,3,2,2,3,2,3,3,3,4,3,3,1,1
790,2,1,4,2,2,2,2,2,5,2,1,2,2,2,1,2,1,2,2,3,2,1,4
791,2,1,3,4,4,4,4,3,2,3,3,4,2,4,3,4,2,4,3,4,4,3,3
792,3,2,3,3,3,2,3,3,3,3,3,4,2,3,3,3,2,3,2,4,4,3,3
793,2,2,4,2,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,3,2,4,4
794,4,1,2,2,4,1,1,4,1,3,4,5,5,5,1,5,1,3,1,5,5,3,3
795,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,4,4,2
796,3,1,3,4,4,1,4,2,4,2,2,3,2,2,1,3,2,2,1,4,4,4,4
797,2,1,2,3,4,3,3,2,2,4,2,4,4,4,3,4,2,3,3,4,4,2,3
798,2,2,4,2,2,2,3,2,4,2,2,3,3,3,2,3,2,3,4,4,3,2,2
799,2,1,2,2,2,4,3,2,2,2,2,3,2,3,2,3,3,2,1,5,2,3,4
800,2,4,5,3,2,2,2,3,4,2,2,2,2,2,2,2,2,2,4,3,2,4,4
801,2,4,1,1,2,3,5,2,3,2,1,3,3,3,3,3,3,2,1,1,3,4,4
802,4,1,1,4,2,2,2,2,2,2,3,4,2,4,4,2,4,1,5,3,2,4,5
803,1,1,3,2,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,5,4,2,2
804,2,1,5,1,2,3,4,2,3,2,3,2,3,2,1,1,3,2,1,2,2,2,3
805,3,4,1,3,2,1,2,2,2,4,2,5,2,4,2,4,2,2,2,3,3,4,2
806,2,1,2,4,1,3,3,2,2,2,2,3,3,3,3,4,2,2,2,4,4,3,5
807,2,3,4,4,3,1,1,1,5,2,2,3,2,3,3,2,2,2,4,4,2,4,4
808,5,1,1,5,5,5,5,5,3,2,1,3,5,5,4,4,5,3,5,1,3,2,3
809,2,2,4,3,2,2,3,2,3,2,2,3,2,3,2,3,3,2,3,2,2,3,4
810,2,2,2,2,2,1,2,1,4,2,1,2,1,2,2,2,2,2,1,2,2,5,4
811,2,3,3,2,2,1,4,2,4,2,1,2,2,2,4,2,2,4,5,4,1,2,4
812,2,1,3,3,2,1,1,1,5,1,1,1,1,3,5,4,4,3,4,3,2,4,5
813,2,1,3,2,2,4,3,2,2,2,2,2,2,2,3,3,2,4,2,3,3,2,3
814,4,1,1,3,2,1,4,2,1,3,3,5,3,4,5,5,2,3,1,5,4,1,4
815,2,1,3,3,4,3,3,2,3,2,2,3,3,4,2,3,3,4,3,3,3,2,4
816,2,1,4,1,1,1,2,1,2,2,1,2,2,3,2,2,2,3,4,3,2,3,4
817,1,2,4,2,2,1,1,1,5,2,2,3,2,3,2,2,2,1,4,2,2,5,4
818,2,2,4,2,3,4,3,1,3,2,2,2,2,2,2,2,2,2,4,2,2,2,4
819,2,2,3,3,2,2,4,2,3,2,3,4,3,3,3,3,2,1,3,4,3,5,1
820,2,2,2,2,4,4,3,2,2,2,2,4,3,3,2,2,2,4,2,4,4,3,4
821,2,3,3,2,2,2,3,2,4,2,2,3,2,2,3,3,2,2,3,3,2,4,3
822,3,1,2,3,4,4,2,2,2,2,2,3,3,5,2,2,2,5,1,3,3,2,4
823,4,2,1,3,3,4,4,2,3,4,2,4,1,5,4,3,2,4,1,4,3,1,5
824,2,2,3,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,4,3,4,4
825,2,1,2,3,3,1,1,1,3,1,1,4,3,3,2,3,1,3,2,5,2,4,5
826,3,1,3,4,3,1,1,3,4,1,2,3,1,1,2,2,2,3,3,4,1,3,3
827,2,2,4,2,2,2,3,3,4,2,2,1,2,3,4,3,2,2,4,3,4,2,4
828,2,2,4,1,2,2,1,1,4,2,2,3,2,1,1,1,2,2,5,4,3,5,5
829,3,1,3,3,4,2,4,2,5,4,1,5,2,3,4,3,3,3,1,3,3,1,5
830,2,3,4,2,2,2,3,2,4,2,2,3,2,2,2,1,2,1,3,4,2,4,4
831,2,1,3,2,2,2,2,2,3,2,2,3,2,3,3,2,1,2,4,3,2,3,3
832,2,1,2,3,3,1,3,3,3,3,2,3,3,1,3,3,3,2,2,3,3,1,2
833,3,2,3,2,3,2,2,2,4,2,2,3,2,2,2,3,2,2,4,4,4,4,4
834,2,2,3,2,2,2,2,2,4,2,2,3,2,3,2,2,2,2,3,3,2,3,4
835,3,1,1,4,4,3,4,2,2,2,4,4,2,4,2,3,4,4,1,5,4,2,2
836,2,1,3,3,2,1,2,2,5,1,2,4,2,3,2,3,2,3,2,4,4,2,5
837,2,2,4,2,3,2,4,2,2,2,2,3,4,2,4,2,2,5,2,2,4,4,4
838,3,2,4,2,3,2,3,2,4,2,2,3,4,3,2,4,2,4,4,4,4,4,4
839,3,1,2,3,2,2,3,2,3,2,2,4,2,4,3,2,2,3,2,4,4,2,2
840,2,1,3,2,4,3,4,2,2,3,2,3,3,4,3,5,2,4,3,5,4,4,4
841,2,1,2,2,2,2,3,1,1,2,2,3,3,2,2,2,1,3,3,3,2,3,3
842,2,1,1,4,3,2,2,4,1,2,5,3,3,3,3,3,4,4,3,5,3,2,3
843,2,2,5,2,3,1,2,1,4,1,1,3,2,2,2,2,2,2,3,3,2,3,4
844,2,1,2,4,2,3,2,2,3,2,2,4,2,4,3,2,2,3,2,5,2,4,4
845,2,1,2,3,3,1,5,1,1,1,2,4,3,2,1,3,4,3,5,5,5,5,5
846,2,2,4,2,2,2,3,1,3,2,1,3,2,3,2,2,2,2,1,5,4,2,4
847,2,1,2,4,3,3,4,2,1,2,2,3,3,2,4,3,3,3,1,4,4,3,2
848,1,1,3,3,2,3,3,2,4,4,1,3,2,3,3,3,2,2,2,3,2,4,5
849,2,2,3,3,2,1,4,2,2,2,2,4,2,2,4,4,2,3,1,4,3,4,1
850,2,2,3,3,4,2,4,3,5,2,1,3,2,3,2,3,3,2,4,2,2,4,4
851,2,1,2,3,3,2,4,2,3,3,2,4,3,4,3,3,2,3,2,2,3,2,4
852,3,1,2,3,2,2,3,2,3,2,2,3,3,3,3,3,3,2,2,4,3,3,4
853,3,2,3,3,3,2,2,3,1,2,2,3,3,3,3,3,2,2,2,4,3,2,2
854,3,1,1,3,4,1,3,5,2,1,4,2,1,3,5,4,4,3,2,1,1,4,4
855,3,1,1,3,3,4,5,5,2,2,4,4,4,5,4,4,5,2,3,3,4,2,3
856,2,1,1,2,3,2,3,3,1,2,3,3,3,3,2,3,3,3,2,4,3,2,3
857,2,3,3,4,4,5,5,2,5,2,2,5,4,2,5,3,2,3,4,4,4,3,2
858,3,2,3,3,4,2,4,3,3,3,3,3,1,1,2,2,4,2,3,2,3,2,2
859,2,2,1,3,4,5,4,2,1,3,5,4,2,3,4,3,3,5,1,4,4,1,3
860,2,1,2,2,2,1,2,2,2,2,2,3,2,1,1,2,2,2,1,4,3,2,3
861,2,2,2,3,3,2,4,2,5,2,2,3,2,3,3,3,3,3,2,4,5,4,4
862,2,2,4,1,1,1,2,1,5,1,1,2,2,1,2,2,1,1,1,4,2,3,3
863,2,2,3,4,4,1,2,4,3,2,4,3,2,2,3,3,4,1,4,4,4,3,3
864,3,1,1,2,2,2,2,1,3,2,2,2,2,2,2,3,2,1,2,3,3,4,2
865,1,1,5,1,2,3,2,2,2,2,1,1,1,2,2,2,1,1,2,3,2,4,4
866,3,1,2,3,3,3,4,3,1,2,3,3,3,3,2,4,2,3,1,2,2,3,4
867,1,2,3,4,1,1,2,2,4,2,1,3,2,2,2,1,1,1,2,2,2,2,5
868,2,3,3,3,2,2,2,3,4,2,2,3,2,3,3,3,3,2,3,3,4,2,4
